Capital investido,Capital total,Lucro,Pagamento De funcionários,Caixinha 2026,Saldo em caixa,Saldo projetado,CDB,CDB 2026,Ação/BDR,Dolar,FII,Caixa 2,Empréstimo,Crypto,Day trade,ETF,Tesouro direto,Fundos de investimento,preço de mercado,Data,Hora,% lucro,Variação no Período,Mês,Ano,Investido Mês,
112.6843825637491,55.75410203982025,-56.93028052392881,2.18,,55.75410203982025,-,34.18438256374905,,1.469999999999999,28.64971947607118,26.97000000000001,1.189999999999998,2.160000000000004,6.410000000000004,8.990000000000002,-,-,-,0.006969262754977531,2025-02-10 00:00:00,18:01:43,-1.0210958196989437,0,Fevereiro,2025,0,
112.6843825637491,55.62953741962042,-57.05484514412863,2.18,,55.62953741962042,-,34.18438256374904,,1.450000000000003,28.54515485587135,26.97,1.189999999999998,2.159999999999997,6.409999999999997,8.989999999999995,-,-,-,0.006953692177452553,2025-02-11 00:00:00,18:00:01,-1.025621419674173,-0.12456462019981984,Fevereiro,2025,0,
112.6843825637491,55.38102696469607,-57.30335559905298,2.18,,55.38102696469607,56.19473002,34.18438256374905,,1.43,28.436644400947,26.88,1.189999999999998,2.160000000000004,6.410000000000004,8.96,-,-,-,0.006922628370587008,2025-02-12 00:00:00,18:03:50,-1.0347109604085591,-0.2485104549243502,Fevereiro,2025,0,
112.6843825637491,55.38102696469607,-57.30335559905298,2.18,,55.38102696469607,-,34.18438256374905,,1.43,28.436644400947,26.88,1.189999999999998,2.160000000000004,6.410000000000004,8.96,-,-,-,0.006922628370587008,2025-02-13 00:00:00,18:01:30,-1.0347109604085591,0,Fevereiro,2025,0,
112.6843825637491,55.22842540480455,-57.45595715894451,2.18,,55.22842540480455,-,34.18438256374903,,1.43,28.44404284105548,26.76,1.189999999999998,2.160000000000004,6.410000000000004,8.919999999999995,-,-,-,0.006903553175600569,2025-02-14 00:00:00,18:01:35,-1.0403330664927155,-0.15260155989152935,Fevereiro,2025,0,
112.6843825637491,55.24917060827016,-57.4352119554789,2.18,,55.24917060827016,-,34.18438256374905,,1.439999999999998,28.13478804452109,27.00000000000001,1.189999999999998,2.160000000000004,6.410000000000004,9.000000000000007,-,-,-,0.00690614632603377,15/02/2025,22:28:00,-1.0395669531893663,0.020745203465608597,Fevereiro,2025,0,
112.6843825637491,55.24917060827016,-57.4352119554789,2.18,,55.24917060827016,-,34.18438256374905,,1.439999999999998,28.13478804452109,27.00000000000001,1.189999999999998,2.160000000000004,6.410000000000004,9.000000000000007,-,-,-,0.00690614632603377,16/02/2025,18:16:40,-1.0395669531893663,0,Fevereiro,2025,0,
112.6843825637491,55.24917060827016,-57.4352119554789,2.18,,55.24917060827016,-,34.18438256374905,,1.439999999999998,28.13478804452109,27.00000000000001,1.189999999999998,2.160000000000004,6.410000000000004,9.000000000000007,-,-,-,0.00690614632603377,16/02/2025,18:18:11,-1.0395669531893663,0,Fevereiro,2025,0,
112.6843825637491,55.24917060827016,-57.4352119554789,2.18,,55.24917060827016,-,34.18438256374905,,1.439999999999998,28.13478804452109,27.00000000000001,1.189999999999998,2.160000000000004,6.410000000000004,9.000000000000007,-,-,-,0.00690614632603377,17/02/2025,18:01:56,-1.0395669531893663,0,Fevereiro,2025,0,
112.6843825637491,55.24917060827016,-57.4352119554789,2.18,,55.24917060827016,-,34.18438256374905,,1.439999999999998,28.13478804452109,27.00000000000001,1.189999999999998,2.160000000000004,6.410000000000004,9.000000000000007,-,-,-,0.00690614632603377,17/02/2025,20:00:43,-1.0395669531893663,0,Fevereiro,2025,0,
